vancouver calgary gray 3
calgary winnipeg white 6
winnipeg sault_ste_marie gray 6
sault_ste_marie montreal black 5
montreal boston gray 2
vancouver seattle gray 1
seattle calgary gray 4
calgary helena gray 4
helena winnipeg blue 4
winnipeg duluth black 4
duluth sault_ste_marie gray 3
sault_ste_marie toronto gray 2
toronto montreal gray 3
montreal new_york blue 3
new_york boston red,yellow 2
portland seattle gray 1
seattle helena yellow 6
helena duluth orange 6
duluth toronto pink 6
san_francisco portland green,pink 5
portland salt_lake_city blue 6
salt_lake_city helena pink 3
helena denver green 4
helena omaha red 5
omaha duluth gray 2
duluth chicago red 3
chicago toronto white 4
toronto pittsburgh gray 2
pittsburgh new_york white,green 2
new_york washington orange,black 2
san_francisco salt_lake_city orange,white 5
salt_lake_city denver red,yellow 3
denver omaha pink 4
omaha chicago blue 4
chicago pittsburgh orange,black 3
pittsburgh washington gray 2
omaha kansas_city gray 1
saint_louis chicago green,white 2
saint_louis pittsburgh green 5
nashville pittsburgh yellow 4
pittsburgh raleigh gray 2
raleigh washington gray 2
san_francisco los_angeles yellow,pink 3
los_angeles las_vegas gray 2
las_vegas salt_lake_city orange 3
los_angeles phoenix gray 3
phoenix denver white 5
denver kansas_city black,orange 4
kansas_city saint_louis blue,pink 2
phoenix santa_fe gray 3
santa_fe denver gray 2
denver oklahoma_city red 4
oklahoma_city kansas_city gray 2
little_rock saint_louis gray 2
saint_louis nashville gray 2
nashville raleigh black 3
raleigh charleston gray 2
santa_fe oklahoma_city blue 3
oklahoma_city little_rock gray 2
little_rock nashville white 3
nashville atlanta gray 1
atlanta raleigh gray 2
phoenix el_paso gray 3
el_paso santa_fe gray 2
el_paso oklahoma_city yellow 5
oklahoma_city dallas gray 2
dallas little_rock gray 2
little_rock new_orleans green 3
new_orleans atlanta yellow,orange 4
atlanta charleston gray 2
los_angeles el_paso black 6
el_paso dallas red 4
dallas houston gray 1
houston new_orleans gray 2
new_orleans miami red 6
atlanta miami blue 5
charleston miami pink 4
el_paso houston green 6
